Title,Status,Class Period,Settlement Fund,Case Definition,Security Id,FinalSettlementdate,Court,Lead Institutional,Settling Defendants,SEC Case,leadInst,Case Summary,Latest Complaint-Link
"Case Profile - Transatlantic Holdings, Inc. (New York Supreme Court) (Alleghany Proposed Acquisition)",Settled,"Jun 12, 2011 to Mar  6, 2012",$0,"On behalf of all holders of Transatlantic Holdings, Inc. (""Transatlantic"" or the ""Company"") common or preferred stock.","Transatlantic Holdings, Inc. (TRH)893521104","Jan 10, 2013","New York Supreme Court, New York County",N/A,"Transatlantic Holdings, Inc.;Robert F. Orlich;Michael C. Sapnar;Richard S. Press;John G. Foos;Ian H. Chippendale;John L. McCarthy;Stephen P. Bradley;Alleghany Corporation;Shoreline Merger Sub, LLC;",0,0,"The claims arise out of the Company's Board of Director's (the ""Board"" or the ""Individual Defendants"") efforts to sell Transatlantic to Alleghany Corporation (""Alleghany"") via an unfair process for stock and cash valued at approximately $3.4 billion (the ""Proposed Acquisition""). According to the complaint, under the terms of the Proposed Acquisition, each Transatlantic shareholder is to receive 0.145 Alleghany share and $14.22 in cash for each Transatlantic share they own, for a purported value of $59.79 per Transatlantic share.The complaint alleges that Defendants breached their fiduciary duties in their pursuit of a sale of the Company at an unfair price through an unfair and self-serving process to defendant Alleghany. The complaint alleges that the Board and management are solidifying their positions at the much larger post-Proposed Acquisition company as part of a Proposed Acquisition that undervalues the Company. In fact, the Proposed Acquisition only values the Company at 86% of its book value. This deep discount to the Company's book value is not a surprise given the Company's management's refusal to undertake a full, fair, and truthful sales process. The inadequate process has led to the Proposed Acquisition which fails to maximize the Company's value.The Individual Defendants botched the sale of the Company from the start. The Company initially announced that it would be acquired by Allied World Assurance Company Holdings, AG (""Allied World"") in July 2011 for only 80% of book value (the ""Allied World Proposed Acquisition.""). The Company's shareholders, however, immediately came out against the deal.While attempting to push through the acquisition by Allied World, the Company received an unsolicited higher offer from Validus Holdings, Ltd. (""Validus""). The Individual Defendants, however, never seriously considered Validus's offer. Instead, Transatlantic's Board initiated a poison-pill to prevent Validus from seeking to acquire the Company through a tender offer. Next, they sued Validus for securities violations, in an attempt to protect their favored deal with Allied World.The complaint alleges that abruptly, on September 16, 2011, Transatlantic and Allied World mutually terminated their previously announced merger agreement. Consistent with the terms of the merger agreement agreed to by the Individual Defendants, Transatlantic, and Allied World, the Company agreed to pay, within two business days, a termination fee in the amount of $35 million (and expense reimbursement in the amount of $13.3 million). The Individual Defendants also agreed to pay an additional fee in the amount of $66.7 million in the event that, prior to September 15, 2012, Transatlantic enters into any definitive agreement in respect of any competing transaction or recommends or submits a competing transaction to its stockholders for adoption, or a transaction in respect of a competing transaction is consummated. By agreeing to the Proposed Acquisition, the Individual Defendants triggered that clause. Thus, in total, by failing to appropriately shop the Company and selling it for too cheap, the Individual Defendants wasted $115 million. This $115 million is consideration that should be paid to shareholders, not Allied World.Following the failure of the Allied World Proposed Acquisition, in October 2011, the Company also received offers from at least two other companies. In total, the Company had four suitors after the announcement of the Allied World Proposed Acquisition. The Individual Defendants now claim they have received the maximum value for shareholders, but the sales process after the breakdown of the Allied World Proposed Acquisition has been as flawed as the previous sales process. Here, the Individual Defendants did not provide all the well-qualified suitors with valuable information or a level playing field. Once again, the Individual Defendants' resistance to potential suitors and rush to get a deal done has caused them to fail to maximize shareholder value.To advance its goal of securing the Propose",https://link.issgovernance.com/scas/docViewer.php?fileName=33086cmp.pdf
Case Profile - AMERIGROUP Corporation (2012),Settled,to,$0,"On behalf of all holders of AMERIGROUP Corporation (""Amerigroup"" or the ""Company"") common stock during the period commencing March 3, 2012 and ending at the effective time of the closing of the merger",AMERIGROUP CORP (AGP)03073T102AMERIGROUP CORP (no ticker)03073T201,"Jan  9, 2013",Delaware Chancery Court,N/A,"Goldman Sachs &amp; Co.;AMERIGROUP Corporation;Thomas E. Capps;James G. Carlson;Jeffrey B. Child;Emerson U. Fullwood;Kay Coles James;William J. McBride;Hala Moddelmog;Joseph W. Prueher;Uwe E. Reinhardt;Richard D. Shirk;John W. Snow;James W. Truess;Richard C. Zoretic;WellPoint, Inc.;WellPoint Merger Sub, Inc.;",0,0,"The Complaint alleges that on July 9, 2012, Amerigroup and WellPoint, Inc. (""WellPoint"") executed an agreement and plan of merger, pursuant to which WellPoint will pay $92.00 per share in cash to acquire all of the outstanding shares of Amerigroup for an aggregate transaction value of approximately $4.9 billion. The Amerigroup Board (""Board"") signed up the deal without ever reaching out to other known suitors prior to executing the merger agreement.Further, the Board exacerbated the harm facing Amerigroup shareholders by agreeing to a multitude of deal protections, including a non-solicitation provision, $146 million termination fee, and matching rights, that collectively deter other potential bidders from submitting a superior offer for the Company.The Board and Amerigroup Management also caused the Company to file materially false and misleading Proxy which deprives Amerigroup shareholders from casting a fully informed vote on the proposed transaction.",https://link.issgovernance.com/scas/docViewer.php?fileName=33506cmp.pdf
"Case Profile - BioForm Medical, Inc.",Settled,to,TBD,"On behalf of all former shareholders of BioForm Medical, Inc. (""BioForm"") who either (a) tendered their shares of BioForm common stock to Merz GmbH &amp; Co. KGaA (""Merz"") pursuant to the January 15, 2010 cash tender offer, or (b) did not tender their shares of BioForm Medical Inc. common stock to Merz but whose BioForm shares were nonetheless converted into a right to receive the same cash tender offer price of $5.45, by operation of Delaware's short-form merger statute.","BioForm Medical, Inc. (BFRM)09065G107","Jan 18, 2013","California Superior Court, San Mateo County",N/A,"Steven Basta;Dennis Condon;Martin Sutter;Timothy Lynch;Kevin Sidow;N.C. Joseph Lai;Christopher Dennis;Jeffrey Nugent;BioForm Medical, Inc.;",0,0,"The Complaint alleges that Defendants breached their fiduciary duty and other violations of state law arising out a proposed transaction in which Merz and Vine Acquisition Corp. seek to acquire all the outstanding shares of BioForm through a cash tender offer by means of an unfair process and for an unfair price of $5.45 per share (the ""Proposed Transaction""). The Proposed Transaction is valued at approximately $253 million.Among other things, the complaint alleges that the Merger Agreement gives Merz access to any rival bidder's information and allows Merz a free right to top any superior offer. Accordingly, no rival bidder is likely to emerge and act as a stalking horse for Merz, because the Merger Agreement unfairly assures that any ""auction"" will favor Merz and piggy-back upon the due diligence of the foreclosed second bidder.The complaint further alleges that despite their duty to maximize shareholder value, the Defendants have clear and material conflicts of interest and are acting to better their own interests at the expense of BioForm's public shareholders. For example, certain of the Company's directors and officers hold unvested stock options that will automatically vest upon consummation of the Proposed Transaction. Upon consummation of the Proposed Transaction, the directors and officers will receive an aggregate value equal to $7,787,626 by cashing out these previously unvested stock options.Case Notes:A class was certified in this action on April 4, 2012. A copy of the Notice of Certification of Shareholder Class is available below as ""Other Forms"".",https://link.issgovernance.com/scas/docViewer.php?fileName=31716cmp.pdf
"Case Profile - Brightpoint, Inc. (2012)",Settled,"Mar 16, 2012 to",$0,"On behalf of all holders of Brightpoint, Inc. (""Brightpoint"" or the ""Company"") common stock at any time during the period beginning on and including March 16, 2012, through and including the date of the consummation of the merger of Brightpoint and Ingram Micro Inc",BRIGHTPOINT INC (CELL)109473405,"Jan 30, 2013",USDC - Indiana (Southern),N/A,"Brightpoint, Inc.;Jerre L. Stead;Eliza Hermann;Robert J. Laikin;John F. Levy;Cynthia L. Lucchese;Richard W. Roedel;MIchael L. Smith;Kari-Pekka Wilska;Ingram Micro Inc.;Beacon Sub, Inc.;",0,0,"The complaint arises in connection with the Company's announcement that it had entered into a definitive Agreement and Plan of Merger (""Agreement"") under which affiliates of Ingram Micro Inc. (""Ingram"") will acquire all of the outstanding stock of BrightPoint, in a transaction valued at approximately $840 million, including assumption of BrightPoint's outstanding debt. The announcement stated that the proposed transaction is expected to close before the end of the year.Under the terms of the Agreement, stockholders will receive $9.00 cash per share for all outstanding shares of the Company's common stock. Ingram has obtained a commitment for a $300 million debt facility from Morgan Stanley Senior Funding, Inc.On July 19, 2012, BrightPoint filed its preliminary Schedule 14A (""Proxy Statement"") with the United States Securities and Exchange Commission which once declared effective, will solicit Company shareholders to vote to approve the proposed transaction. However, the Proxy Statement is replete with material omissions and misstatements.",https://link.issgovernance.com/scas/docViewer.php?fileName=33475cmp.pdf
Case Profile - DDi Corp. (2012) (California Superior Court),Settled,"Apr  4, 2012 to May 31, 2012",$0,"On behalf of all holders of DDi Corp. (""DDi"" or the ""Company"") common stock",DDi Corp. (DDIC)233162502,"Jan  8, 2013","California Superior Court, Orange County",N/A,"DDi Corp.;Andrew W. Lietz;Bryant R. Riley;Carl R. Vertuca;Jay B. Hunt;Lloyd I. Miller;Mikel H. Williams;Robert J. Amman;Steven C. Schlepp;Viasystems Group, Inc.;Victor Merger Sub Corp.;",0,0,"The claims arise out of DDi's Board of Directors' (the ""Board"") attempt to sell the Company to Viasystems Group, Inc. (""Viasystems"") by means of an unfair process and for an unfair price. On April 3, 2012, DDi and Viasystems announced a definitive agreement under which Viasystems, through its wholly owned subsidiary Victor Merger Sub Corp. (""Merger Sub""), will acquire all of the outstanding shares of DDi for $13.00 per share in cash.The complaint generally alleges, among other things, that (i) that the Board violated the fiduciary duties owed to stockholders by approving the merger agreement, (ii) that the Board engaged in an unfair process and agreed to a price that allegedly fails to maximize value for stockholders and (iii) that DDi, Viasystems and Merger Sub aided and abetted the Board's alleged breach of fiduciary duties.", 
"Case Profile - EDGAR Online, Inc. (Maryland Circuit Court)",Settled,"May 22, 2012 to Aug 14, 2012",$0,"On behalf of all holders of EDGAR Online, Inc. (""EDGAR Online"" or the ""Company"") common stock and preferred stock",EDGAR ONLINE INC (EDGR)279765101EDGAR ONLINE INC (EDGRW)279765135,"Jan 10, 2013","Maryland Circuit Court, Montgomery County",N/A,"EDGAR Online, Inc.;John M. Connolly;Robert J. Farrell;Mark Maged;Jeffrey Schwartz;Alfred R. Berkeley;Barry Schuler;Eric B. Herr;Harold D. Copperman;R.R. Donnelley &amp; Sons Company;Leo Acquisition Sub, Inc.;",0,0,"The action arises out of EDGAR Online's directors' attempt to sell the Company to R.R. Donnelley &amp; Sons Company (""RR Donnelley""), through its wholly-owned subsidiary Leo Acquisition Sub, Inc. (""Merger Sub"").On May 22, 2012, RR Donnelley and the Company announced a definitive agreement under which RR Donnelley, through Merger Sub, will acquire all of the outstanding shares of EDGAR Online common stock for $1.092 per share in cash, the outstanding Series B Preferred Stock for $171.875 per share in cash, and the outstanding Series C Preferred Stock for $158.790 per share in cash.The complaint alleges that EDGAR Online's directors breached their fiduciary duties by their actions in approving the merger agreement; and, that RR Donnelley and Merger Sub aided and abetted breaches of fiduciary duty.", 
"Case Profile - eResearchTechnology, Inc. (Delaware Chancery Court)",Settled,"Apr  9, 2012 to Jul  3, 2012",$0,"On behalf of all persons or entities who held or owned eResearchTechnology, Inc. (""ERT"" or ""Company"") common stock at any time from and including April 9, 2012 through July 3, 2012, which was the date of the consummation of the proposed transaction","eResearch Technology, Inc. (ERT)29481V108","Jan 30, 2013",Delaware Chancery Court,N/A,"Jeffrey S. Ltiwin;Elam M. Hitchner III;Joel Morganroth;Stephen S. Phillips;Klaus Besier;Gerald A. Faich;Stephen M. Scheppmann;Genstar Capital LLC;Explorer Holdings, Inc.;Explorer Acquisition Corp.;eResearchTechnology, Inc.;",0,0,"The claims arise out in connection with the acquisition of the publicly owned shares of ERT common stock by Genstar Capital LLC and two related entities, Explorer Holdings, Inc. and Explorer Acquisition Corp. (collectively referred to herein as ""Genstar"") (""Proposed Transaction""). According to the complaint, On April 10, 2012, ERT announced that it had entered into an agreement under which Genstar will acquire the stock of ERT for approximately $400 million in cash (""Merger Agreement""). The Merger Agreement was filed with the Securities and Exchange Commission on April 10, 2012. Under the terms of the transaction, ERT shareholders will receive $8.00 in cash for each share of ERT common stock held.The complaint alleges that in facilitating the acquisition of ERT by Genstar for inadequate consideration and through a flawed process, each of the Defendants breached and/or aided the other Defendants' breaches of their fiduciary duties.The Company's board of directors (the ""Board"") exacerbated its breach of fiduciary duties by agreeing to lock up the Proposed Transaction with deal protective devices that preclude other bidders from making a successful competing offer for the Company. Furthermore, members of the Board have material conflicts of interest that render them unable to act in the best interests of ERT's shareholders.", 
Case Profile - Pharmacia Corp.,Settled disbursed,"Apr 17, 2000 to Aug  5, 2001","$164,000,000","On behalf of all persons who purchased or otherwise acquired the common stock of Pharmacia Corp. (""Pharmacia"" or the ""Company"") common stock",PHARMACIA CORP (PHA)71713U102,"Jan 30, 2013",USDC - New Jersey,"Alaska Electrical Pension Fund, International Union of Operating Engineers, Local 132 Pension Plan, New England Health Care Employees Pension Fund, PACE Industry Union Management Pension Fund, Chemical Valley Pension Fund of West Virginia","Pharmacia Corp.;Fred Hassan;G. Steven Geis;Carrie Cox;Pfizer, Inc.;",0,1,"The Complaint alleges as follows: Pharmacia marketed Celebrex as a new type of drug that, unlike aspirin or ibuprofen, retarded pain and inflammation without the adverse side effects of ulcers or gastrointestinal bleeding.During the Class Period, Pharmacia and its partner Pfizer, who funded the study, trumpeted the results of the ""Celecoxib Long-term Arthritis Safety Study"" (the ""CLASS"" study) -- a clinical study to compare the gastrointestinal problems of patients who used Celebrex to those of patients who used other Nonsteroidal Anti-inflammatory Drugs (""NSAIDs) -- which found that Celebrex caused fewer gastrointestinal problems than traditional drugs, such as ibuprofen.Given all the hype surrounding the CLASS study, the Journal of the American Medical Association (""JAMA"") published a study by the Company that showed that Celebrex caused fewer gastrointestinal problems than traditional drugs. Unbeknownst, however, to JAMA, the study was flawed because the Company manipulated the results in such a way to show that Celebrex was safer for the stomach and digestive tract than conventional drugs by not including in the final analysis all of the data collected through the entire duration of the study, which concluded opposite to the Company's findings. During the Class Period, the Company failed to make adequate disclosures concerning this study and used this fallacious study in their continuing efforts to have the Food and Drug Administration remove the warning label from Celebrex. During the Class Period, the Company continued to misrepresent that Celebrex was just as likely to cause ulcers like older, cheaper medicines until an August 22, 2001 report in The Wall Street Journal shed light on the Company's fallacious misrepresentations.On August 22, 2001, The Wall Street Journal (""The Journal"") reported that reviews, conducted by researchers from the Cleveland Clinic, of clinical trials for the arthritis drug Celebrex indicated that the medication might carry an increased risk for cardiovascular events. They concluded that heart- attack rates with Celebrex were high enough to be a concern. The researchers concluded: ""Given the remarkable exposure and popularity of this new class of medications, we believe that it is mandatory to conduct a trial specifically assessing cardiovascular risk and benefit of these agents. Until then, we urge caution in prescribing these agents to patients at risk for cardiovascular morbidity."" Study author Dr. Eric Topol commented in the article that the results are a ""cautionary flag that seems to say something is going on that needs further exploration.""Case update:The case was dismissed on October 29, 2007, but on January 30, 2009, the United States District Court of Appeals for the 3rd Circuit reversed the dismissal and remanded case to the district court.",https://link.issgovernance.com/scas/docViewer.php?fileName=28473cmp.pdf
"Case Profile - Renal Care Group, Inc.",Settled,"May  4, 2005 to Mar 31, 2006","$4,000,000","On behalf of all persons and entities who held Renal Care Group, Inc. (""Renal Care"" or the ""Company"") common stock",RENAL CARE GROUP INC (RCI)759930100,"Jan 18, 2013","State of Tennessee Chancery Court, 20th Judicial District",N/A,"Renal Care Group, Inc.;Gary Brukardt;William P. Johnston;Harry R. Jacobson;Joseph C. Hutts;William V. Lapham;Thomas A. Lowery;Stephen D. McMurray;Peter J. Grua;C. Thomas Smith;",0,0,The Complaint alleges that defendants' conduct in connection with the acquisition constituted a breach of fiduciary duties by defendants. Defendants believe that that they acted properly and in compliance with their fiduciary duties at all times. Defendants also deny the allegations that Plaintiff or the other members of the Class have suffered damages as a result of their alleged misconduct., 
"Case Profile - RF Monolithics, Inc. (Texas District Court)",Settled,"Apr 12, 2012 to Jul  1, 2012",$0,"On behalf of all holders of RF Monolithics, Inc. (""RFM"" or the ""Company"") common stock","RF Monolithics, Inc. (RFMI)74955F106","Jan 10, 2013","Texas District Court, Dallas County",N/A,"RFM Monolithics, Inc.;William L. Eversole;Ryder Acquisition Company, Limited;Murata Electronics North America, Inc.;Rick L. Herrman
;Jonathan W. Ladd
;Farlin A.Halsey;",0,0,"The claims arise out of a transaction in which Murata Electronics North America, Inc. (""Murata"") will acquire each share of RFM's common stock for $1.78 (the ""Proposed Acquisition""). The Proposed Acquisition is valued at approximately $19.6 million.The complaint alleges that in approving the Proposed Acquisition, RFM's Board of Directors (the ""Individual Defendants"") has breached its  fiduciary duties of loyalty, good faith, due care and disclosure by, inter alia, (i) agreeing to sell RFM without first taking steps to ensure that plaintiff and Class members would obtain adequate, fair and maximum consideration under the circumstances; and (ii) engineering the Proposed Acquisition to benefit themselves and/or Murata without regard for RFM's public shareholders. Moreover, as alleged further in the complaint, Murata aided and abetted the Individual Defendants' breaches of fiduciary duty.",https://link.issgovernance.com/scas/docViewer.php?fileName=33402cmp.pdf
