Title,Status,Class Period,Settlement Fund,Case Definition,Security Id,FinalSettlementdate,Court,Lead Institutional,Settling Defendants,SEC Case,leadInst,Case Summary
"Case Profile - Transatlantic Holdings, Inc. (New York Supreme Court) (Alleghany Proposed Acquisition)",Settled,"Jun 12, 2011 to Mar  6, 2012",$0,"On behalf of all holders of Transatlantic Holdings, Inc. (""Transatlantic"" or the ""Company"") common or preferred stock.","Transatlantic Holdings, Inc. (TRH)893521104","Jan 10, 2013","New York Supreme Court, New York County",N/A,"Transatlantic Holdings, Inc.;Robert F. Orlich;Michael C. Sapnar;Richard S. Press;John G. Foos;Ian H. Chippendale;John L. McCarthy;Stephen P. Bradley;Alleghany Corporation;Shoreline Merger Sub, LLC;",0,0,"The claims arise out of the Company's Board of Director's (the ""Board"" or the ""Individual Defendants"") efforts to sell Transatlantic to Alleghany Corporation (""Alleghany"") via an unfair process for stock and cash valued at approximately $3.4 billion (the ""Proposed Acquisition""). According to the complaint, under the terms of the Proposed Acquisition, each Transatlantic shareholder is to receive 0.145 Alleghany share and $14.22 in cash for each Transatlantic share they own, for a purported value of $59.79 per Transatlantic share.The complaint alleges that Defendants breached their fiduciary duties in their pursuit of a sale of the Company at an unfair price through an unfair and self-serving process to defendant Alleghany. The complaint alleges that the Board and management are solidifying their positions at the much larger post-Proposed Acquisition company as part of a Proposed Acquisition that undervalues the Company. In fact, the Proposed Acquisition only values the Company at 86% of its book value. This deep discount to the Company's book value is not a surprise given the Company's management's refusal to undertake a full, fair, and truthful sales process. The inadequate process has led to the Proposed Acquisition which fails to maximize the Company's value.The Individual Defendants botched the sale of the Company from the start. The Company initially announced that it would be acquired by Allied World Assurance Company Holdings, AG (""Allied World"") in July 2011 for only 80% of book value (the ""Allied World Proposed Acquisition.""). The Company's shareholders, however, immediately came out against the deal.While attempting to push through the acquisition by Allied World, the Company received an unsolicited higher offer from Validus Holdings, Ltd. (""Validus""). The Individual Defendants, however, never seriously considered Validus's offer. Instead, Transatlantic's Board initiated a poison-pill to prevent Validus from seeking to acquire the Company through a tender offer. Next, they sued Validus for securities violations, in an attempt to protect their favored deal with Allied World.The complaint alleges that abruptly, on September 16, 2011, Transatlantic and Allied World mutually terminated their previously announced merger agreement. Consistent with the terms of the merger agreement agreed to by the Individual Defendants, Transatlantic, and Allied World, the Company agreed to pay, within two business days, a termination fee in the amount of $35 million (and expense reimbursement in the amount of $13.3 million). The Individual Defendants also agreed to pay an additional fee in the amount of $66.7 million in the event that, prior to September 15, 2012, Transatlantic enters into any definitive agreement in respect of any competing transaction or recommends or submits a competing transaction to its stockholders for adoption, or a transaction in respect of a competing transaction is consummated. By agreeing to the Proposed Acquisition, the Individual Defendants triggered that clause. Thus, in total, by failing to appropriately shop the Company and selling it for too cheap, the Individual Defendants wasted $115 million. This $115 million is consideration that should be paid to shareholders, not Allied World.Following the failure of the Allied World Proposed Acquisition, in October 2011, the Company also received offers from at least two other companies. In total, the Company had four suitors after the announcement of the Allied World Proposed Acquisition. The Individual Defendants now claim they have received the maximum value for shareholders, but the sales process after the breakdown of the Allied World Proposed Acquisition has been as flawed as the previous sales process. Here, the Individual Defendants did not provide all the well-qualified suitors with valuable information or a level playing field. Once again, the Individual Defendants' resistance to potential suitors and rush to get a deal done has caused them to fail to maximize shareholder value.To advance its goal of securing the Propose"
"Case Profile - A-Power Energy Generation Systems, Ltd. (C.D. Cal.)",Settled,"Mar 17, 2008 to Jun 27, 2011","$3,675,000","On behalf of all persons who purchased or otherwise acquired A-Power Energy Generation Systems, Ltd. (""A-Power"" or the ""Company"") securities",A-Power Energy Generation Systems Ltd. (CSCA)B0JCH38A-Power Energy Generation Systems Ltd. (APWR)G04136100; VGG041361004,"Aug 22, 2013",USDC - California (Central),N/A,"A-Power Energy Generation Systems, Ltd.;Jinxiang Lu;Edward Meng;Kin Kwong Mak;John S. Lin;Michael Zhang;Robert B. Leckie;Dilip Limaye;Remo Richli;Zhenyu Fan;Jiamin Wu;MSCM LLP;",0,0,"The Complaint alleges that A-Power and the individual defendants disseminated (or controlled those who disseminated) materially false and misleading statements as part of a fraudulent scheme to inflate A-Power's financial metrics, including revenue. The Complaint further alleged that A-Power's auditor, MSCM, was either aware of red flags that alerted it to the Company's purported fraud or, alternatively, failed to conduct basic accounting procedures that would have alerted it to A-Power's purported fraud.Case Update:On December 16, 2011, the actions pending outside the USDC - Central (California) were transferred to the USDC - California (Central) for coordinated or consolidated pretrial proceedings. A copy of the Transfer Order is available as ""Other Forms"".Case Update:The litigation has been tentatively dismissed by the court on May 31, 2012. The plaintiffs have been given until July 16, 2012 to manually file a First Amended Complaint.On July 16, 2012, plaintiffs filed a Consolidated first amended complaint. A copy is attached below as ""Complaint"" document."
"Case Profile - A.C.L.N., Ltd. (SEC)",Settled,"Jun 15, 1999 to Mar 18, 2002","$28,265,287","On behalf of all persons who purchased A.C.L.N., Ltd. (""ACLN"" or the Company) common stock",A.C.L.N. LTD (ACLNF)2264161; CY0000031233; M01764105,"Apr  1, 2013",USDC - New York (Southern),N/A,"A.C.L.N., Ltd.;Abderrazak ""Aldo"" Labiad;Joseph J.H. Bisschops;Alex de Ridder;BDO International (Cyprus);Minas Ioannou;Christakis Ioannou;Emerald Sea Marine, Inc.;Pearlrose Holdings International, S.A.;Scott Investments S.A.;Scandinavian Car Carriers A/S;Sergui, Ltd.;Pandora Shipping, S.A.;DCC, Limited.;Maverick Commercial, Inc.;Westbound Development Corp.;",1,0,"The action claims ACLN was the vehicle for an exceptionally bold and elaborate financial fraud that resulted in losses of hundreds of millions of dollars to investors in the United States and abroad. Defendants constructed a fraudulent scheme to represent the Company as a substantial business entity with escalating profits when it was, in fact, little more than a shell company. From 1998 through 2001, they caused ACLN to grossly misrepresent its revenues and income, fabricate an entire line of business, and claim ownership of assets that did not exist or it did not own. Falsifying its assets and results of operations allowed ACLN to obtain a listing for its stock on the Nasdaq National Market System and subsequently on the New York Stock Exchange, further bolstering the contrived picture of a successful business."
"Case Profile - Actrade Financial Technologies, Inc.",Settled disbursed,"Mar 11, 1999 to Aug 22, 2002","$5,250,000","On behalf of all purchasers of the common stock of Actrade Financial Technologies, Inc. (""Actrade"" or the ""Company"")",ACTRADE FINL TECHNOLOGIES LTD (ACRTQ)00507P102ACTRADE INTL LTD (ACRT)004931101,"Jun 11, 2013",USDC - New York (Southern),N/A,"Deloitte &amp; Touche LLP;Actrade Financial Technologies, Inc.;Amos Aharoni;Alexander C. Stonkus;Joseph P. D'Alessandris;",0,0,"The Complaint alleges the following: Defendants issued a series of press releases and public filings containing materially false or misleading statements representing that the Company provided short-term loans to businesses to finance commercial transactions. The complaint alleges that these statements were false and misleading because defendants knew, or recklessly disregarded, that the Company had also loaned millions of dollars to individuals for non-commercial purposes, defrauded its sureties into providing coverage for these loans, and had overstated its financial results based on these fraudulent lending practices. The complaint further alleges that defendants' actions artificially inflated the price of Actrade common stock during the Class Period.Case Updates:According to a letter addressed to Judge Richard M. Berman from  Edward J. Yodowitz dated April 15, 2011, the parties have reached an agreement in principle on all material terms to settle all claims asserted by plaintiffs in the action."
Case Profile - Adelphia Communications Corp. (Buchanan Ingersoll &amp; Rooney),Settled,"Aug 16, 1999 to Jun 10, 2002","$12,000,000","On behalf of all persons who purchased or otherwise acquired securities issued by Adelphia Communications Corp. or its subsidiaries (""Adelphia"")",ADELPHIA COMMUNICATIONS CORP (no ticker)006848105; 006848303; 006848402; 006848501; 006848AF2; 006848AH8; 006848AK1; 006848AP0; 006848AR6; 006848AS4; 006848AT2; 006848AU9; 006848AW5; 006848AZ8; 006848BC8; 006848BD6; 006848BE4; 006848BF1; 006848BG9; 006848BH7; 006848BJ3; 006848BK0; 156503AF1; 156503AG9; 156503AH7; 156503AJ3; 156503AK0; 156503AL8; 156503AN4ADELPHIA COMMUNICATIONS CORP (ADELO)006848600FRONTIERVISION HLDGS L P /FRONTIERVISION HLDGS CAP CORP (no ticker)35921QAB0FRONTIERVISION HOLDINGS LP / FRONTIERVISION HOLDINGS CAPITAL (no ticker)35921XAB5FRONTIERVISION OPERATING PARTNERS L.P. (no ticker)35921LAA3OLYMPUS COMMUNICATIONS LP (no ticker)68162YAC0Options of Adelphia Communications Corp. (no ticker)Options,"Nov  1, 2013",USDC - New York (Southern),"Argent Classic Convertible Arbitrage Fund, Argent Classic Convertible Arbitrage Fund (Bermuda) L.P., Argent Lowlev Convertible Arbitrage Fund Ltd. , UBS O'Connor LLC f/b/o UBS Global Equity Arbitrage Master Ltd., UBS O'Connor LLC f/b/o UBS Global Convertible Portfolio, Eminence Capital, LLC",Buchanan Ingersoll;,0,1,"The Complaint alleges as follows: Adelphia and the family of Adelphia founder John J. Rigas, along with Deloitte &amp; Touche LLP (""Deloitte &amp; Touche""), the Banks and other Defendants, fraudulently concealed the true financial situation of Adelphia from investors and shareholders. Specifically, during the Class Period Adelphia's financial statements materially understated the total amount of Adelphia's debt, overstated Adelphia's equity capital, misrepresented Adelphia's capital structure and concealed its source of funds. These actions artificially inflated the prices of Adelphia securities. Once the truth was disclosed, Adelphia securities declined, injuring the Lead Plaintiffs and the Class."
Case Profile - Alange Energy Corp. (Canada),Settled,"Aug 30, 2010 to Jan 12, 2011","$8,730,180","On behalf of all persons, who acquired Alange Energy Corp. (n.k.a. PetroMagdalena Energy Corp.) (""Alange"") securities on or after August 30, 2010 to and including January 12, 2011 and held some or all of those shares on January 13, 2011",Alange Energy Corp. (ALE)011625100; 2153946; B3BGSG9; B52D4Q5; CA0116251004PETROMAGDALENA ENERGY LTD (ALNGF)CA71672C1014; B5L1J87; B4WHCX3; B4WN316; 71672C101,"Nov 28, 2013",Ontario Superior Court of Justice,N/A,Alange Energy Corp;Horacio Santos;,0,0,"The claims arise out of Alange's reporting of its daily production of oil. Plaintiff alleges that throughout the Class Period, the defendants misrepresented Alange's daily production of oil. According to the claims, on January 13, 2011, Alange disclosed that it had revised its production numbers previously disclosed and that it had overstated its oil production by up to 39 percent. After the disclosure, Alange's share price declined by 37 percent."
"Case Profile - Allos Therapeutics, Inc. (2011) (Delaware Chancery Court)",Settled,"Jul 20, 2011 to Sep  5, 2012",$0,"On behalf of all holders of Allos Therapeutics, Inc. (""Allos"" or the ""Company"") common stock","Allos Therapeutics, Inc. (ALTH)019777101","Feb 11, 2013",Delaware Chancery Court,N/A,"Paul Berns;Stephen Hoffman;Jeffrey Latts;David Stout;Allos Therapeutics, Inc.;Cecilia Gonzalo;Jonathan S. Leff;Joseph L. Turner;Spectrum Pharmaceuticals, Inc.;Sapphire Acquisition Sub, Inc.;",0,0,"The claims arise out of the Defendants' ongoing efforts to sell the Company to AMAG Pharmaceuticals, Inc. (""AMAG""), allegedly by means of an unfair process and for an unfair price. As described in the Complaint, on July 20, 2011, AMAG and the Company announced a definitive agreement under which AMAG, through its wholly owned subsidiary, Alamo Acquisition Sub, Inc., is to acquire all of the outstanding shares of Allos in an all-stock transaction (the ""Proposed Transaction"").The Complaint alleges that Allos' Board of Directors has breached their fiduciary duties by agreeing to the Proposed Transaction for grossly inadequate consideration. The Complaint alleges that the consideration Allos shareholders are to receive, and the mere 39 percent ownership of the combined company they will be left with, is inadequate and significant undervalues the Company and Allos shareholders' ownership stake in it. The Complaint alleges that Allos shareholders are receiving virtually no premium in the Proposed Transaction, and numerous analysts have set price targets for Allos well above the Proposed Transaction value.Case Notes:On July 27, 2011, the first filed case asserting the above allegations, captionedA.E. Everage, Jr. v. Paul Berns, et al., C.A. No. 6701, was voluntarily dismissed by plaintiffs. A copy of the Notice of Voluntary Dismissal is attached as ""Other Forms"".The case now appearing on the website is for a later filed complaint, captionedIn re Allos Therapeutics Shareholder Litigation, C.A. No. 6714."
Case Profile - Alterra Capital Holdings Limited,Settled,"Dec 19, 2012 to May  1, 2013",$0,"On behalf of all holders of Alterra Capital Holdings Limited (""Alterra"" or the ""Company"") common stock","ALTERRA CAPITAL HOLDINGS LTD, HAMILTON (ALTE)B3YZZG2; B4KTGD9; B4P0JF0; BMG0229R1088; G0229R108","Oct 25, 2013",USDC - New York (Southern),N/A,"Alterra Capital Holdings Limited;W. Marston Becker;Michael O'Reilly;James D. Carey;Meryl D. Hartzband;Willis T. King, Jr.;James L. Zech;Mario P. Torsiello;K. Bruce Connell;James H. Macnaughton;W. Thomas Forrester;Stephan F. Newhouse;Andrew H. Rush;Markel Corporation;Commonwealth Merger Subsidiary Limited;",0,0,"The action arises out of defendants' pursuit of a sale of Alterra to Markel Corporation (""Markel"") at an unfair price through an unfair and self-serving process, which ""oppressive"" conduct against Alterra's sharehoders violates section 111 of the Bermuda Companies Act of 1981. In addition, as part of its effort to seek shareholder approval, the Company Board of Directors (""Board"") filed with the U.S. Securities and Exchange Commission and dissemnated to Alterra shareholders, a false and materially misleading Schedule 14A Definitive Proxy Statement.Despite its bright prospects as a standalone company, when approached by Markel in mid-2012, the Board jumped at the first opportunity to sell the Company to one of its peers in the insurance industry. From the outset, the Board immediately locked in on a sale of the Company to Markel and never considered, much less explored, other strategic opportunities, such as remaining a standalone company or a sale to another bidder. In fact, the Board did not take any steps to gauge third-party interest; it neither conducted a market check nor even approached a single party other than Markel about a potential transaction before agreeing to the merger. The failure to conduct even a pro forma pre-signing market check is even more egregious in light of the Board's agreement to a no-solicitation provision in the Agreement and Plan of Merger dated December 18, 2012 that has precluded them from contacting any parties post-signing."
Case Profile - American Greetings Corporation (Ohio Common Pleas Court),Settled,to,$0,"On behalf of all persons who owned any interest in the common stock of American Greetings Corporation (""American Greetings"" or the ""Company"") at any time between and including September 26, 2012, and the effective date of the Merger",AMERICAN GREETINGS CORP (no ticker)026375105,"Oct 24, 2013","Ohio Common Pleas Court, Cuyahoga County","IBEW Local 98 Pension Fund, New York City Hotel Trades Council and Hotel Association of New York City, Inc. Pension Fund","American Greetings Corporation;Morry Weiss;Zev Weiss;Jeffrey Weiss;Scott S. Cowen;Jeffrey D. Dunn;William E. MacDonald, III;Michael J. Merriman, Jr.;Charles A. Ratner;Jerry Sue Thornton;",0,1,"The Complaint alleges that through its composition of Weiss family members, who also include members of the Company's Board of Directors (""Board"") (collectively, the ""Acquiring Group""), exercises all indicia of control and domination over American Greetings. The Acquiring Group was also privy to confidential, non-public information about the company's future prospects that is unavailable to other potential suitors and American Greetings shareholders, thus having inappropriately misappropriated such information in formulating its offer for the Company. The Acquiring Group seeks to use its control and insider knowledge to consummate the Buyout through the acquiescence of a Board beholden to the Acquiring Group, and to the detriment of American Greetings shareholders."
"Case Profile - American International Group, Inc. (2004) (General Reinsurance Corp.)",Settled,"Oct 28, 1999 to Apr  1, 2005","$72,000,000","On behalf of all persons who purchased or otherwise acquired publicly-traded securities issued by American International Group, Inc. (""AIG"" or the ""Company"") during the Class Period, including all persons and entities who held the common stock of HSB Group, Inc. (""HSB"") at the time HSB was acquired by AIG in a stock for stock transaction, and all persons and entities who held the common stock of American General Corporation (""AGC"") at the time AGC was acquired by AIG in a stock for stock transaction.",American General Corp. (no ticker)026351106AMERICAN INTERNATIONAL GROUP INC (AIG)026874107; 026874784AMERICAN INTERNATIONAL GROUP INC (no ticker)026874AN7; 026874AP2; 026874AQ0; 026874AR8; 026874AS6; 026874AT4American International Group Inc (no ticker)USU02687AB48; USU02687AC21AMERICAN INTL GROUP INC MEDIUMTERM NTS BOOK ENTRY (no ticker)02687QBB3HSB GROUP INC (HSB)40428N109Put/Call Options in AIG common stock (AIG)OPTIONS,"Sep 11, 2013",USDC - New York (Southern),"Ohio Police and Fire Pension Fund, Ohio Public Employees Retirement System, State Teachers Retirement System of Ohio",General Reinsurance Corp.;,0,1,"The Complaint alleges as follows: During the Class Period, defendants disseminated false and misleading financial statements to the investing public concerning AIG's results and operations. The true facts, which were known by each of the defendants but concealed from the investing public during the Class Period, were as follows: (a) that the Company was paying illegal and concealed ""contingent commissions"" pursuant to illegal ""contingent commission agreements;"" (b) that by concealing these ""contingent commissions"" and such ""contingent commission agreements"" the defendants violated applicable principles of fiduciary law, subjecting the Company to enormous fines and penalties totaling potentially tens, if not hundreds, of millions of dollars; (c) that defendants had concealed the fact that AIG had engaged in illegal transactions using PNC-style structures with at least five additional insurers (in addition to PNC), contrary to defendants' claims on January 30, 2002; and (d) that as a result, AIG's prior reported revenue and income was grossly overstated."
