Title,Dismiss,Settlement,Certification,Appeal
"AtheroGenics, Inc. - Securities Class   Action",1,0,0,0
"China Aviation Oil (Singapore) Corporation, Ltd. - Securities Class   Action",1,0,0,0
"TASER International, Inc. - Securities Class   Action",1,1,0,0
"Input/Output, Inc. - Securities Class   Action",1,0,0,0
"OfficeMax, Inc. - Securities Class   Action",1,0,0,1
"CIB Marine Bancshares, Inc. - Securities Class   Action",1,1,1,0
"Citadel Security Software, Inc. - Securities Class   Action",1,1,0,0
"iPass, Inc. - Securities Class   Action",1,0,0,1
"American Business Financial Services, Inc. : Notes and Debentures - Securities Class   Action",1,1,1,1
"Shurgard Storage Centers, Inc. - Securities Class   Action",1,0,0,0
"Morgan Stanley DW, Inc. : Variable Annuity Insurance Products - Securities Class   Action",1,0,0,0
"Silicon Storage Technology, Inc. - Securities Class   Action",1,0,0,1
"51job, Inc. - Securities Class   Action",1,0,0,0
"Merrill Lynch & Co., Inc.: Variable Annuity Insurance Products - Securities Class   Action",1,0,0,0
Huffy Corporation - Securities Class   Action,1,0,1,0
Pharmos Corporation - Securities Class   Action,1,1,1,0
Sipex Corporation - Securities Class   Action,1,1,0,0
Linsco/Private Ledger Corporation : Variable Annuity Insurance Products - Securities Class   Action,1,0,0,0
AstraZeneca PLC - Securities Class   Action,1,0,0,0
"EPIX Pharmaceuticals, Inc. - Securities Class   Action",1,0,0,0
Citigroup Global Markets Inc. F/K/ASalomon Smith Barney Inc. - Securities Class   Action,1,0,0,0
Gander Mountain Company - Securities Class   Action,1,0,0,1
Direct General Corporation - Securities Class   Action,1,1,1,0
"First Command Financial Planning, Inc. : First Command's Systematic Investment Plan - Securities Class   Action",1,1,1,0
"Silicon Image, Inc. - Securities Class   Action",1,0,0,1
"Sierra Wireless, Inc. - Securities Class   Action",1,0,0,0
"A.G. Edwards, Inc. : Variable Annuity Insurance Products - Securities Class   Action",1,0,0,0
"Tower Automotive, Inc. - Securities Class   Action",1,1,1,0
"Bombardier, Inc. : Bombardier Capital Mortgage Securitization Pass-Through Certificates Series 2000A - Securities Class   Action",1,0,1,1
"Dynex Capital, Inc. : Merit Securities Corporation Collateralized Bonds Series 13 - Securities Class   Action",1,0,1,1
"Fox Entertainment Group, Inc. : News Corporation - Securities Class   Action",1,1,0,0
