Title,Dismiss,Settlement,Certification,Appeal,Grant
"Impac Mortgage Holdings, Inc. - Securities Class   Action",1,0,0,0,1
General Motors Corporation : General Motors Acceptance Corporation SmartNotes - Securities Class   Action,1,0,0,1,1
The Mills Corporation - Securities Class   Action,1,1,1,1,1
"Amkor Technology, Inc. - Securities Class   Action",1,1,1,1,1
"Refco Capital Markets, Limited - Securities Class   Action",1,0,0,1,1
Dot Hill Systems Corporation - Securities Class   Action,1,0,0,1,1
Jarden Corporation - Securities Class   Action,1,1,1,0,1
"Repsol YPF, S.A. - Securities Class   Action",0,1,1,0,1
"Take-Two Interactive Software, Inc. - Securities Class   Action",1,1,0,0,1
"Omnicare, Inc. - Securities Class   Action",1,0,0,1,1
Applica Incorporated - Securities Class   Action,1,1,0,0,1
"Coca-Cola Enterprises, Inc. - Securities Class   Action",1,0,0,0,1
NVE Corporation - Securities Class   Action,1,0,0,1,1
ProQuest Company - Securities Class   Action,1,1,0,0,1
"The Cooper Companies, Inc. - Securities Class   Action",1,1,1,0,1
Chicago Bridge & Iron Co. NV - Securities Class   Action,1,1,1,0,0
"Micron Technology, Inc. - Securities Class   Action",1,1,1,1,1
GrafTech International Limited - Securities Class   Action,1,0,0,0,0
"Bausch & Lomb, Inc. - Securities Class   Action",1,0,0,1,1
"H&R Block, Inc. - Securities Class   Action",1,0,0,1,1
"Northfield Laboratories, Inc. - Securities Class   Action",1,1,1,0,1
PHH Corporation - Securities Class   Action,1,0,0,0,0
"PainCare Holdings, Inc. - Securities Class   Action",1,1,0,0,1
"Merge Technologies, Inc. - Securities Class   Action",1,1,1,0,1
SAC Capital Management L.L.C. : Biovail Corporation Common Stock - Securities Class   Action,1,0,0,0,1
The Estee Lauder Companies Inc. - Securities Class   Action,1,0,0,0,1
"Sea Containers, Ltd. - Securities Class   Action",1,0,1,1,1
"Nature's Sunshine Products, Inc. - Securities Class   Action",1,1,1,0,1
TNS Inc. - Securities Class   Action,1,1,0,0,1
GMH Communities Trust - Securities Class   Action,1,1,0,0,1
"American Service Group, Inc. - Securities Class   Action",1,1,0,0,1
Astea International Inc. - Securities Class   Action,1,0,0,0,1
"American International Group, Inc. (AIG) : Shelf-Space Funds - Securities Class   Action",1,0,0,1,1
"Orphan Medical, Inc. - Securities Class   Action",1,0,0,1,1
"St. Jude Medical, Inc. - Securities Class   Action",1,0,0,0,1
"Fairfax Financial Holdings, Ltd. - Securities Class   Action",1,0,0,1,1
"Pixelplus Company, Ltd. - Securities Class   Action",1,1,0,0,1
"Comverse Technology, Inc. - Securities Class   Action",1,1,1,0,1
"Newpark Resources, Inc. - Securities Class   Action",1,1,0,0,1
GlobeTel Communications Corporation - Securities Class   Action,1,1,0,0,1
"China Energy Savings Technology, Inc. - Securities Class   Action",1,0,0,0,1
"Discovery Laboratories, Inc. - Securities Class   Action",1,0,0,1,1
Vitesse Semiconductor Corporation - Securities Class   Action,1,1,0,0,1
"XM Satellite Radio Holdings, Inc. - Securities Class   Action",1,0,0,0,1
PXRE Group Limited - Securities Class   Action,1,0,0,1,1
"UnitedHealth Group, Inc. - Securities Class   Action",1,1,1,0,1
"Escala Group, Inc. - Securities Class   Action",1,1,1,0,1
Southern Farm Bureau Life Insurance Company : Plaintiff's Shareholders Corporation shares - Securities Class   Action,1,0,1,1,0
"Home Depot, Inc. - Securities Class   Action",1,0,0,1,1
"Image Innovations Holdings, Inc. - Securities Class   Action",1,0,1,0,1
American Tower Corporation - Securities Class   Action,1,1,1,1,1
Sears Holdings Corporation : Kmart Holding Corporation stock - Securities Class   Action,1,0,0,1,1
Erie Family Life Insurance Company - Securities Class   Action,1,1,0,0,1
Vonage Holdings Corporation - Securities Class   Action,1,1,0,0,1
"Xerium Technologies, Inc. - Securities Class   Action",1,1,0,0,0
CSK Auto Corporation - Securities Class   Action,1,0,0,0,1
ADE Corporation - Securities Class   Action,1,1,0,0,1
InfoSonics Corporation - Securities Class   Action,1,1,1,0,1
Intermix Media Inc. : NewsCorp. Aquisition of Myspace.com - Securities Class   Action,0,0,0,0,0
"Herley Industries, Inc. - Securities Class   Action",1,1,1,0,1
Antigenics Inc. - Securities Class   Action,1,0,0,0,0
"Brooks Automation, Inc. - Securities Class   Action",1,1,0,0,1
"Michaels Stores, Inc. - Securities Class   Action",1,0,0,0,1
"Home Solutions of America, Inc. - Securities Class   Action",1,1,0,0,1
"Terayon Communication Systems, Inc. - Securities Class   Action",1,1,0,0,0
KLA-Tencor Corporation - Securities Class   Action,1,1,0,0,1
"Ionatron, Inc. - Securities Class   Action",1,1,0,0,1
"NPS Pharmaceuticals, Inc. - Securities Class   Action",1,1,1,0,1
Sunterra Corporation - Securities Class   Action,1,1,0,0,0
"Juniper Networks, Inc. - Securities Class   Action",1,1,1,0,1
"Par Pharmaceutical Companies, Inc. - Securities Class   Action",1,0,1,0,1
"Rambus, Inc. - Securities Class   Action",1,1,1,0,1
Zale Corporation - Securities Class   Action,1,1,0,0,1
